iter	Logloss
0	0.6882514366
1	0.6847159377
2	0.6795580406
3	0.6750537284
4	0.6699312491
5	0.6650724516
6	0.6606555729
7	0.6561724634
8	0.6519794747
9	0.6492472012
10	0.6446640682
11	0.6400603726
12	0.637483839
13	0.6334773178
14	0.6286841787
15	0.6262362324
16	0.6227706725
17	0.618564194
18	0.6154841122
19	0.6112592312
20	0.6077881571
21	0.6037553183
22	0.6006649251
23	0.5975849834
24	0.5940831045
25	0.5916771489
26	0.5894338237
27	0.5875190394
28	0.5844895773
29	0.5810267327
30	0.5778936903
31	0.576124503
32	0.5735057785
33	0.570293767
34	0.5672457801
35	0.5649423522
36	0.5615275613
37	0.5581402135
38	0.555577741
39	0.5523266666
40	0.5508561568
41	0.5487373589
42	0.5460358061
43	0.5429618153
44	0.5411169242
45	0.5389150372
46	0.5364783846
47	0.534124059
48	0.5307002414
49	0.5289874066
50	0.5263977673
51	0.5243808354
52	0.5226468558
53	0.5205374561
54	0.5184600522
55	0.5161120982
56	0.5135670428
57	0.5117345666
58	0.5103042276
59	0.5088685224
60	0.5069392613
61	0.5058379484
62	0.504071849
63	0.5026509319
64	0.5013652681
65	0.4990494982
66	0.4975801239
67	0.4954073892
68	0.4937794274
69	0.4917253363
70	0.4897655824
71	0.4881025387
72	0.4855490154
73	0.4839406321
74	0.4825486397
75	0.4806147512
76	0.4790772126
77	0.4783791778
78	0.476922228
79	0.4757319459
80	0.4742068644
81	0.4726812191
82	0.4710468444
83	0.4693673381
84	0.4676818392
85	0.4657056761
86	0.4642140634
87	0.4632998746
88	0.4622314595
89	0.460592481
90	0.4593241639
91	0.4584569869
92	0.4577605438
93	0.4561556633
94	0.4554982999
95	0.4545744958
96	0.4540947284
97	0.4540085087
98	0.4531926189
99	0.4527317281
100	0.4519466344
101	0.450688372
102	0.4488322057
103	0.4478782417
104	0.4468232543
105	0.4457592303
106	0.4447781675
107	0.4438522903
108	0.4430406598
109	0.4420804721
110	0.4413288303
111	0.4406769097
112	0.439927404
113	0.4387131738
114	0.4379161685
115	0.4368122477
116	0.4363066446
117	0.4352350106
118	0.4340016567
119	0.4332395033
120	0.4323511556
121	0.4316166781
122	0.4304510199
123	0.4297836948
124	0.4286476712
125	0.4281044323
126	0.4277452421
127	0.4268564678
128	0.4262834378
129	0.4255606014
130	0.4252233113
131	0.424750709
132	0.4237267015
133	0.4229110275
134	0.4226882753
135	0.4220238002
136	0.4216236205
137	0.4213023831
138	0.4205216151
139	0.4202240166
140	0.4192685081
141	0.4183050279
142	0.4173978005
143	0.4162954182
144	0.415992639
145	0.4157126501
146	0.4155852885
147	0.4148007449
148	0.4145476092
149	0.4139132529
150	0.4134843771
151	0.4124055164
152	0.412222917
153	0.4115787549
154	0.411081548
155	0.4110031407
156	0.4105687169
157	0.4095109133
158	0.4089787829
159	0.4084130488
160	0.4077252474
161	0.4072843557
162	0.4066351535
163	0.4063103387
164	0.4059185096
165	0.4052304697
166	0.4050859305
167	0.4044742571
168	0.4041975026
169	0.4035590426
170	0.4030297385
171	0.4025456368
172	0.402334931
173	0.401831618
174	0.4017743873
175	0.4011280658
176	0.4005475562
177	0.4000603326
178	0.3990424765
179	0.3987132685
180	0.3980735307
181	0.3976839336
182	0.3970583957
183	0.3968093954
184	0.3965549511
185	0.3961498711
186	0.3958574586
187	0.3958036693
188	0.3954652307
189	0.3949970516
190	0.3946423615
191	0.3937733218
192	0.3931025335
193	0.3925366206
194	0.391865258
195	0.3914533348
196	0.3912476553
197	0.3905329154
198	0.3898798389
199	0.3891654603
200	0.3887747769
201	0.3884753081
202	0.3877793274
203	0.3874664375
204	0.3871008215
205	0.3865209415
206	0.3859273739
207	0.3855620818
208	0.3851648115
209	0.3843406643
210	0.3842506785
211	0.3840729725
212	0.3836865443
213	0.3834504777
214	0.383221126
215	0.382875332
216	0.3827132502
217	0.3825534206
218	0.3821802218
219	0.3818052054
220	0.3816117561
221	0.3812172842
222	0.3810255507
223	0.3809283758
224	0.3808446585
225	0.3801708307
226	0.3798560036
227	0.3794923916
228	0.3793373475
229	0.3791100641
230	0.3786186348
231	0.3783799747
232	0.3779793355
233	0.3777902426
234	0.377759024
235	0.3775407801
236	0.3772180796
237	0.3770122934
238	0.3765490897
239	0.3764835925
240	0.3759776808
241	0.3757142158
242	0.3752871326
243	0.3748925461
244	0.3746214472
245	0.3740866821
246	0.3735711811
247	0.3732294839
248	0.3729683346
249	0.3727413457
250	0.3723892856
251	0.3719863363
252	0.3716739793
253	0.3716103601
254	0.3715319129
255	0.371508316
256	0.3713832526
257	0.3710349299
258	0.371030348
259	0.3708892154
260	0.3705921581
261	0.3702244894
262	0.3702202347
263	0.3698349185
264	0.3696711654
265	0.3692863237
266	0.3690671729
267	0.3687581564
268	0.3683941859
269	0.368050992
270	0.3677324616
271	0.3674997199
272	0.3672484703
273	0.3670583272
274	0.366936125
275	0.3665623609
276	0.3663926512
277	0.3659325492
278	0.3656171802
279	0.3654984176
280	0.3653075674
281	0.3652175898
282	0.365164193
283	0.3648739127
284	0.3648461699
285	0.3646301237
286	0.3646030346
287	0.3644969437
288	0.3643646754
289	0.3639816129
290	0.3636656294
291	0.363430258
292	0.3632201443
293	0.3628359855
294	0.3627236518
295	0.3622184354
296	0.3621264294
297	0.3620089934
298	0.3618790034
299	0.3617399454
300	0.3616850281
301	0.3613225424
302	0.3613077955
303	0.3611613922
304	0.3606681647
305	0.3606662726
306	0.3606644378
307	0.3601634319
308	0.3599344409
309	0.3596092344
310	0.3595229983
311	0.3591048131
312	0.3589464226
313	0.3588198429
314	0.3585066029
315	0.3584892118
316	0.3580264626
317	0.3580001595
318	0.3578136454
319	0.3576122347
320	0.3573283521
321	0.3569801921
322	0.3568810457
323	0.35676928
324	0.3566134286
325	0.3565307492
326	0.3562459001
327	0.3559648846
328	0.3558310934
329	0.355525639
330	0.3553348141
331	0.3552290203
332	0.3545412457
333	0.3543498177
334	0.354267269
335	0.3541845198
336	0.3538121961
337	0.3535608169
338	0.3531983941
339	0.3530182856
340	0.3527164122
341	0.352633574
342	0.3525075494
343	0.3524961056
344	0.35245364
345	0.3521993518
346	0.3520077509
347	0.3519447224
348	0.3518945368
349	0.3516107656
350	0.3515159018
351	0.3515000807
352	0.3512670327
353	0.3508513767
354	0.3504572704
355	0.35017651
356	0.3501286962
357	0.3498837488
358	0.3495626772
359	0.3493757992
360	0.3490827511
361	0.3488646977
362	0.3484613426
363	0.3483259359
364	0.3480209179
365	0.3476817077
366	0.3474725024
367	0.3474285581
368	0.3470858003
369	0.3469015363
370	0.3463432335
371	0.3461185251
372	0.3458407874
373	0.3457031815
374	0.3455128742
375	0.3452742962
376	0.3452251263
377	0.3450881669
378	0.3449793371
379	0.344691491
380	0.3443639578
381	0.3442136782
382	0.3440594348
383	0.3439143606
384	0.3437593269
385	0.3433892597
386	0.3430005665
387	0.3426363435
388	0.3425431519
389	0.3422194687
390	0.3420983186
391	0.3419547464
392	0.3418564406
393	0.3416273848
394	0.3413111854
395	0.3411554684
396	0.3410876043
397	0.3410429673
398	0.341042403
399	0.3409573532
400	0.3408655821
401	0.3406567823
402	0.3404763525
403	0.3403717595
404	0.3400880712
405	0.3399640397
406	0.3399010234
407	0.339826297
408	0.3397102041
409	0.3395576906
