iter	Passed	Remaining
0	220	220739
1	232	116261
2	256	85085
3	278	69276
4	299	59689
5	321	53318
6	345	49069
7	367	45627
8	389	42937
9	400	39679
10	423	38081
11	445	36699
12	455	34579
13	473	33335
14	495	32512
15	506	31164
16	526	30472
17	548	29944
18	563	29096
19	585	28677
20	607	28313
21	629	27972
22	645	27425
23	664	27027
24	686	26771
25	703	26370
26	716	25834
27	726	25209
28	745	24947
29	767	24808
30	789	24665
31	799	24188
32	814	23861
33	836	23755
34	858	23659
35	876	23472
36	902	23488
37	927	23475
38	945	23307
39	968	23238
40	976	22834
41	994	22682
42	1017	22647
43	1039	22589
44	1058	22460
45	1080	22406
46	1102	22359
47	1117	22171
48	1140	22139
49	1176	22355
50	1206	22454
51	1229	22421
52	1251	22364
53	1277	22383
54	1300	22344
55	1322	22294
56	1345	22253
57	1367	22211
58	1379	21997
59	1393	21836
60	1420	21858
61	1434	21707
62	1450	21579
63	1470	21505
64	1485	21371
65	1507	21332
66	1529	21292
67	1551	21264
68	1573	21229
69	1595	21194
70	1617	21168
71	1639	21137
72	1668	21185
73	1694	21200
74	1714	21145
75	1740	21163
76	1763	21139
77	1771	20943
78	1789	20864
79	1811	20835
80	1833	20806
81	1855	20775
82	1877	20744
83	1899	20718
84	1929	20766
85	1951	20737
86	1969	20671
87	1991	20641
88	2014	20616
89	2036	20588
90	2058	20565
91	2073	20469
92	2085	20338
93	2107	20313
94	2119	20188
95	2137	20127
96	2145	19973
97	2150	19792
98	2164	19694
99	2176	19586
100	2196	19551
101	2226	19602
102	2250	19595
103	2272	19577
104	2294	19555
105	2316	19536
106	2334	19485
107	2360	19493
108	2375	19417
109	2397	19400
110	2431	19474
111	2448	19409
112	2471	19396
113	2493	19376
114	2515	19356
115	2536	19332
116	2558	19311
117	2580	19289
118	2602	19268
119	2625	19253
120	2650	19256
121	2686	19332
122	2712	19342
123	2744	19390
124	2819	19733
125	2833	19656
126	2851	19602
127	2873	19573
128	2894	19546
129	2917	19521
130	2937	19488
131	2956	19439
132	2978	19413
133	3000	19388
134	3011	19296
135	3029	19248
136	3044	19179
137	3059	19110
138	3081	19085
139	3099	19039
140	3121	19015
141	3143	18993
142	3165	18969
143	3195	18996
144	3220	18990
145	3240	18956
146	3249	18854
147	3271	18834
148	3289	18790
149	3312	18772
150	3328	18711
151	3350	18689
152	3358	18592
153	3380	18571
154	3402	18548
155	3411	18456
156	3439	18466
157	3463	18457
158	3485	18436
159	3507	18413
160	3529	18392
161	3548	18354
162	3569	18331
163	3584	18273
164	3599	18216
165	3621	18193
166	3629	18103
167	3650	18081
168	3679	18092
169	3703	18080
170	3728	18075
171	3762	18110
172	3773	18040
173	3795	18019
174	3807	17947
175	3829	17927
176	3851	17906
177	3883	17933
178	3954	18136
179	4006	18250
180	4040	18283
181	4066	18275
182	4088	18251
183	4109	18226
184	4121	18157
185	4136	18104
186	4158	18078
187	4166	17995
188	4184	17955
189	4215	17972
190	4243	17974
191	4267	17960
192	4290	17941
193	4313	17919
194	4334	17894
195	4356	17870
196	4378	17846
197	4400	17825
198	4423	17803
199	4455	17821
200	4477	17798
201	4499	17775
202	4521	17750
203	4543	17728
204	4565	17704
205	4587	17681
206	4609	17658
207	4631	17635
208	4653	17612
209	4675	17589
210	4702	17584
211	4725	17562
212	4759	17585
213	4787	17585
214	4810	17563
215	4833	17542
216	4854	17516
217	4872	17479
218	4894	17455
219	4916	17431
220	4938	17406
221	4960	17385
222	4988	17382
223	5010	17359
224	5033	17338
225	5055	17315
226	5078	17292
227	5100	17269
228	5121	17244
229	5144	17221
230	5166	17200
231	5201	17217
232	5262	17322
233	5311	17388
234	5326	17340
235	5366	17374
236	5410	17418
237	5434	17400
238	5464	17399
239	5490	17385
240	5513	17362
241	5534	17336
242	5556	17311
243	5578	17285
244	5600	17259
245	5622	17234
246	5645	17209
247	5666	17183
248	5678	17126
249	5709	17128
250	5732	17106
251	5758	17092
252	5793	17106
253	5808	17061
254	5827	17025
255	5835	16959
256	5847	16904
257	5868	16877
258	5873	16803
259	5894	16776
260	5916	16751
261	5938	16726
262	5943	16654
263	5965	16630
264	5983	16595
265	6008	16580
266	6030	16556
267	6053	16532
268	6074	16508
269	6096	16484
270	6118	16459
271	6133	16417
272	6155	16392
273	6177	16367
274	6196	16336
275	6223	16325
276	6249	16311
277	6275	16298
278	6300	16282
279	6322	16258
280	6344	16234
281	6366	16210
282	6374	16150
283	6397	16128
284	6408	16078
285	6430	16054
286	6444	16010
287	6469	15994
288	6495	15979
289	6516	15955
290	6538	15931
291	6575	15942
292	6615	15961
293	6659	15990
294	6696	16003
295	6758	16073
296	6787	16065
297	6824	16076
298	6853	16067
299	6877	16047
300	6889	15999
301	6911	15974
302	6919	15917
303	6941	15891
304	6963	15867
305	6971	15811
306	6977	15751
307	7004	15738
308	7027	15714
309	7049	15690
310	7071	15665
311	7093	15640
312	7114	15616
313	7136	15590
314	7158	15565
315	7172	15526
316	7195	15503
317	7207	15457
318	7228	15430
319	7255	15418
320	7280	15400
321	7307	15385
322	7329	15362
323	7355	15346
324	7377	15323
325	7393	15285
326	7415	15261
327	7438	15240
328	7461	15217
329	7488	15204
330	7512	15183
331	7534	15159
332	7556	15135
333	7578	15111
334	7600	15086
335	7623	15064
336	7644	15040
337	7667	15016
338	7689	14993
339	7706	14958
340	7737	14952
341	7779	14967
342	7905	15143
343	7927	15117
344	7959	15111
345	7982	15088
346	8011	15076
347	8041	15067
348	8053	15022
349	8075	14996
350	8096	14971
351	8105	14920
352	8127	14895
353	8148	14870
354	8174	14851
355	8214	14859
356	8260	14877
357	8323	14926
358	8363	14933
359	8399	14932
360	8424	14911
361	8448	14889
362	8471	14865
363	8496	14846
364	8522	14826
365	8544	14801
366	8566	14774
367	8577	14730
368	8599	14705
369	8621	14679
370	8643	14654
371	8665	14629
372	8701	14627
373	8756	14656
374	8807	14679
375	8872	14723
376	8899	14706
377	8928	14691
378	8947	14661
379	8969	14635
380	8992	14609
381	9021	14594
382	9037	14559
383	9059	14533
384	9081	14506
385	9103	14480
386	9125	14453
387	9147	14428
388	9169	14402
389	9192	14377
390	9214	14352
391	9240	14331
392	9266	14311
393	9291	14290
394	9321	14276
395	9340	14245
396	9370	14232
397	9391	14205
398	9406	14168
399	9451	14176
400	9492	14179
401	9547	14201
402	9579	14190
403	9601	14165
404	9624	14139
405	9646	14112
406	9667	14086
407	9690	14060
408	9709	14030
409	9732	14004
410	9757	13983
411	9785	13966
412	9814	13949
413	9823	13904
414	9838	13869
415	9861	13844
416	9884	13818
417	9906	13793
418	9928	13767
419	9950	13741
420	9972	13714
421	9994	13688
422	10017	13664
423	10045	13646
424	10067	13620
425	10085	13589
426	10100	13553
427	10108	13509
428	10130	13483
429	10152	13457
430	10185	13446
431	10218	13435
432	10230	13397
433	10276	13402
434	10327	13414
435	10372	13417
436	10408	13409
437	10412	13360
438	10439	13340
439	10461	13314
440	10483	13289
441	10506	13264
442	10536	13247
443	10558	13221
444	10569	13182
445	10591	13156
446	10614	13131
447	10636	13105
448	10658	13079
449	10679	13053
450	10685	13006
451	10708	12982
452	10731	12957
453	10742	12919
454	10763	12892
455	10792	12875
456	10817	12853
457	10833	12820
458	10856	12795
459	10879	12771
460	10903	12748
461	10912	12708
462	10940	12688
463	10964	12666
464	10979	12632
465	11023	12631
466	11069	12633
467	11110	12629
468	11152	12626
469	11190	12619
470	11221	12602
471	11244	12579
472	11253	12537
473	11258	12493
474	11286	12474
475	11309	12449
476	11335	12428
477	11368	12415
478	11391	12389
479	11413	12364
480	11437	12341
481	11459	12315
482	11481	12290
483	11504	12265
484	11526	12239
485	11549	12214
486	11572	12190
487	11594	12165
488	11617	12140
489	11639	12114
490	11660	12087
491	11682	12062
492	11706	12039
493	11730	12015
494	11738	11975
495	11760	11950
496	11784	11926
497	11804	11898
498	11826	11873
499	11864	11864
500	11889	11841
501	11911	11816
502	11933	11791
503	11955	11765
504	11977	11739
505	11999	11714
506	12020	11688
507	12039	11660
508	12064	11637
509	12075	11602
510	12086	11566
511	12109	11541
512	12131	11516
513	12152	11490
514	12174	11465
515	12198	11442
516	12222	11418
517	12244	11393
518	12267	11369
519	12275	11331
520	12304	11312
521	12326	11287
522	12354	11268
523	12391	11256
524	12397	11216
525	12405	11178
526	12429	11155
527	12451	11131
528	12463	11096
529	12485	11071
530	12507	11046
531	12515	11009
532	12537	10984
533	12566	10966
534	12574	10929
535	12596	10904
536	12618	10879
537	12636	10851
538	12641	10811
539	12652	10778
540	12673	10752
541	12697	10730
542	12720	10705
543	12739	10678
544	12761	10653
545	12783	10629
546	12802	10602
547	12827	10580
548	12832	10541
549	12885	10542
550	12910	10520
551	12956	10515
552	12978	10490
553	13000	10465
554	13021	10440
555	13026	10402
556	13055	10383
557	13077	10359
558	13099	10334
559	13122	10310
560	13144	10285
561	13165	10260
562	13188	10236
563	13207	10210
564	13230	10186
565	13248	10158
566	13270	10134
567	13295	10112
568	13321	10090
569	13343	10066
570	13375	10049
571	13403	10029
572	13427	10006
573	13453	9984
574	13495	9974
575	13534	9963
576	13588	9961
577	13630	9952
578	13672	9941
579	13701	9921
580	13724	9897
581	13746	9873
582	13768	9848
583	13794	9826
584	13847	9823
585	13903	9822
586	13948	9814
587	13991	9803
588	14036	9794
589	14068	9776
590	14094	9754
591	14116	9729
592	14138	9703
593	14160	9678
594	14183	9654
595	14207	9630
596	14230	9606
597	14252	9581
598	14274	9556
599	14286	9524
600	14302	9495
601	14329	9473
602	14352	9449
603	14376	9425
604	14388	9394
605	14435	9385
606	14487	9379
607	14554	9383
608	14603	9376
609	14652	9368
610	14678	9344
611	14704	9322
612	14731	9300
613	14756	9276
614	14780	9253
615	14805	9229
616	14830	9205
617	14850	9179
618	14874	9155
619	14898	9131
620	14929	9111
621	14962	9093
622	14987	9069
623	15017	9048
624	15038	9022
625	15050	8992
626	15104	8985
627	15131	8962
628	15155	8939
629	15186	8918
630	15215	8897
631	15240	8874
632	15265	8850
633	15290	8826
634	15314	8802
635	15336	8777
636	15358	8752
637	15380	8727
638	15424	8713
639	15455	8693
640	15479	8669
641	15514	8651
642	15559	8638
643	15574	8609
644	15609	8591
645	15625	8562
646	15667	8547
647	15714	8536
648	15729	8507
649	15753	8482
650	15775	8457
651	15798	8432
652	15807	8400
653	15827	8373
654	15856	8351
655	15878	8326
656	15913	8308
657	15969	8300
658	16042	8301
659	16099	8293
660	16173	8294
661	16197	8269
662	16235	8252
663	16266	8231
664	16297	8210
665	16325	8187
666	16381	8178
667	16453	8177
668	16477	8152
669	16542	8147
670	16565	8122
671	16588	8096
672	16617	8074
673	16636	8046
674	16658	8020
675	16681	7995
676	16693	7964
677	16716	7939
678	16728	7908
679	16763	7888
680	16807	7872
681	16852	7857
682	16884	7836
683	16927	7820
684	16959	7799
685	16982	7773
686	17003	7747
687	17012	7714
688	17033	7688
689	17056	7662
690	17078	7637
691	17101	7611
692	17130	7588
693	17152	7562
694	17174	7537
695	17198	7512
696	17210	7481
697	17233	7456
698	17255	7430
699	17277	7404
700	17286	7373
701	17310	7348
702	17336	7324
703	17366	7301
704	17375	7270
705	17398	7245
706	17414	7217
707	17449	7196
708	17471	7170
709	17493	7145
710	17515	7119
711	17538	7094
712	17562	7069
713	17584	7043
714	17607	7018
715	17636	6995
716	17658	6969
717	17680	6944
718	17704	6919
719	17727	6894
720	17750	6868
721	17772	6843
722	17794	6817
723	17816	6791
724	17838	6766
725	17862	6741
726	17920	6729
727	17939	6702
728	17962	6677
729	18010	6661
730	18034	6636
731	18057	6611
732	18080	6585
733	18104	6560
734	18135	6538
735	18158	6513
736	18178	6486
737	18202	6462
738	18224	6436
739	18247	6411
740	18270	6385
741	18278	6355
742	18300	6330
743	18323	6304
744	18345	6279
